epoch,train_loss,val_loss,val_dice,val_acc,val_auc,val_precision,val_recall,val_f1,val_iou,test_loss,test_dice,test_acc,test_auc,test_precision,test_recall,test_f1,test_iou
1,0.338405,0.277126,0.816611,0.917583,0.958546,0.920067,0.963297,0.941186,0.888906,,,,,,,,
2,0.245489,0.249946,0.844921,0.919181,0.960429,0.911555,0.976710,0.943008,0.892163,,,,,,,,
3,0.225761,0.217487,0.861461,0.929582,0.966358,0.929469,0.970805,0.949687,0.904195,,,,,,,,
4,0.206546,0.201759,0.867687,0.933814,0.968785,0.949550,0.954005,0.951772,0.907982,,,,,,,,
5,0.195629,0.208462,0.863759,0.927408,0.969109,0.962379,0.930329,0.946083,0.897682,,,,,,,,
6,0.184919,0.205343,0.885134,0.927045,0.965650,0.922714,0.975104,0.948186,0.901477,,,,,,,,
7,0.183489,0.194743,0.887355,0.931812,0.968527,0.931931,0.971341,0.951228,0.906992,,,,,,,,
8,0.180926,0.189072,0.881556,0.934892,0.970110,0.953454,0.951336,0.952394,0.909115,,,,,,,,
9,0.172822,0.187610,0.889894,0.934498,0.969373,0.938790,0.967392,0.952877,0.909994,,,,,,,,
10,0.172808,0.193635,0.896384,0.931505,0.968475,0.933159,0.969382,0.950926,0.906442,,,,,,,,
11,0.169573,0.195765,0.898019,0.928657,0.969827,0.920993,0.979841,0.949506,0.903866,,,,,,,,
12,0.165054,0.181732,0.890056,0.935890,0.971801,0.956919,0.949079,0.952983,0.910188,,,,,,,,
13,0.163063,0.186741,0.899140,0.934000,0.969619,0.934153,0.972113,0.952755,0.909773,,,,,,,,
14,0.167126,0.188774,0.898295,0.932862,0.969424,0.936635,0.967371,0.951755,0.907952,,,,,,,,
15,0.161269,0.180201,0.900293,0.936599,0.971675,0.940462,0.968714,0.954379,0.912738,,,,,,,,
16,0.159993,0.173930,0.900449,0.939006,0.972959,0.946000,0.966047,0.955918,0.915559,,,,,,,,
17,0.157610,0.177396,0.898477,0.937291,0.971872,0.947154,0.962075,0.954556,0.913064,,,,,,,,
18,0.155088,0.182024,0.902494,0.935314,0.971165,0.942543,0.964291,0.953293,0.910755,,,,,,,,
19,0.155963,0.182113,0.890987,0.935338,0.972846,0.960850,0.944009,0.952355,0.909044,,,,,,,,
20,0.154050,0.183935,0.897321,0.936297,0.969205,0.942468,0.965908,0.954044,0.912127,,,,,,,,
test,,,,,,,,,,0.247379,0.885579,0.904626,0.956073,0.898174,0.967844,0.931708,0.872148
